State,City Tier,Brand,Year of Manufacture,Owner Type,Seller Type,Fuel Type,Insurance Status,Price (INR),Registration Year,Avg Daily Distance (km),Engine Capacity (cc),Mileage (km/l),Efficiency score,Daily fuel consumption,Resale Price (INR),Resale score,Model,Depreciation
Punjab,Tier 1,TVS,2024,Third,Dealer,Electric,Not Available,"1,33,844.00 ",2024,67.67,617,63.25,0.1,1.07,"66,018.44 ",133844,Ronin,67825.56
Rajasthan,Tier 1,TVS,2024,Third,Individual,Electric,Expired,"1,05,989.00 ",2024,13.83,397,69.45,0.17,0.2,"73,023.48 ",105989,Sport,32965.52
Gujarat,Tier 1,Bajaj,2024,Third,Individual,Electric,Expired,"1,02,635.00 ",2024,77.75,791,80.34,0.1,0.97,"79,078.91 ",102635,Pulsar 150,23556.09
Rajasthan,Tier 1,TVS,2024,Third,Individual,Electric,Active,"2,47,338.00 ",2024,71.56,715,91.15,0.13,0.79,"1,73,656.85 ",247338,NTorq 125,73681.15
West Bengal,Tier 1,Honda,2024,Third,Individual,Electric,Not Available,"1,17,032.00 ",2024,9.17,265,90.18,0.34,0.1,"81,219.18 ",117032,Dio,35812.82
Madhya Pradesh,Tier 1,KTM,2024,Third,Individual,Electric,Expired,"1,69,523.00 ",2024,77.28,606,84.93,0.14,0.91,"83,088.84 ",169523,RC 390,86434.16
Madhya Pradesh,Tier 1,KTM,2024,Third,Individual,Electric,Active,"3,65,544.00 ",2024,47.73,291,93.8,0.32,0.51,"2,75,179.85 ",365544,RC 390,90364.15
West Bengal,Tier 1,Bajaj,2024,Third,Individual,Electric,Not Available,"3,98,385.00 ",2024,8.22,683,81.39,0.12,0.1,"1,78,074.24 ",398385,Avenger 220,220310.76
Uttar Pradesh,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Expired,"93,730.00 ",2024,37.97,861,73.09,0.08,0.52,"49,353.30 ",93730,Meteor 350,44376.7
Delhi,Tier 1,Yamaha,2024,Third,Individual,Electric,Active,"1,51,506.00 ",2024,17.41,539,81.18,0.15,0.21,"73,294.16 ",151506,MT-15,78211.84
Delhi,Tier 1,Hero,2024,Third,Individual,Electric,Active,"79,269.00 ",2024,33.69,978,74.15,0.08,0.45,"38,546.94 ",79269,Passion Pro,40722.06
Maharashtra,Tier 1,Hero,2024,Third,Dealer,Electric,Active,"3,69,185.00 ",2024,51.77,766,66.06,0.09,0.78,"2,53,762.06 ",369185,HF Deluxe,115422.94
Maharashtra,Tier 1,TVS,2024,Third,Dealer,Electric,Active,"2,55,049.00 ",2024,58.32,214,85.05,0.4,0.69,"1,51,968.31 ",255049,NTorq 125,103080.69
